"chart","alpha","validity","k","n_rep","mean_Rk","sd_Rk","se_Rk","ci_lower","ci_upper","mcse_ratio","censored_rate","lower_bound","ratio","reuse_lower_bound","reuse_ratio"
"two-phase normal p-value",0.01,"marginal",1,1000,1190.394,2256.2600404506,71.3492072144753,1050.55212353414,1330.23587646586,0.059937472143236,0,50.5,23.5721584158416,100,11.90394
"two-phase normal p-value",0.01,"marginal",5,1000,5529.303,6708.50249227649,212.141475645098,5113.51334810842,5945.09265189157,0.0383667662352919,0,250.5,22.0730658682635,500,11.058606
"two-phase normal p-value",0.05,"marginal",1,1000,71.803,110.713303747231,3.50106207123305,64.9410444327441,78.664955567256,0.0487592728887797,0,10.5,6.83838095238096,20,3.59015
"two-phase normal p-value",0.05,"marginal",5,1000,356.864,365.143817572627,11.5468613705851,334.232567579176,379.495432420824,0.0323564757739227,0,50.5,7.06661386138614,100,3.56864
