"chart_index","chart","chart_type","threshold","validity","lambda","r","kappa","k","n_rep","mean_Rk","sd_Rk","se_Rk","ci_lower","ci_upper","mcse_ratio","censored_rate","lower_bound","ratio","n0","alpha_nominal","ks_engine"
11,"Qtilde(lambda=0.90,r=-0.80,alpha=0.05)","qtilde",0.05,"marginal",0.9,-0.8,NA,1,500,7141.842,17888.9472097601,800.018040138575,5573.83545434607,8709.84854565393,0.112018445680901,0,10.5,680.175428571428,50,0.05,"asymp"
11,"Qtilde(lambda=0.90,r=-0.80,alpha=0.05)","qtilde",0.05,"marginal",0.9,-0.8,NA,5,500,28963.908,46710.5907230355,2088.96112251757,24869.6194347612,33058.1965652388,0.0721229028388561,0.024,50.5,573.542732673267,50,0.05,"asymp"
12,"Qtilde(lambda=0.90,r=-0.50,alpha=0.05)","qtilde",0.05,"marginal",0.9,-0.5,NA,1,500,1963.312,4172.45913642618,186.59804524778,1597.58655172878,2329.03744827122,0.0950424819120853,0,10.5,186.982095238095,50,0.05,"asymp"
12,"Qtilde(lambda=0.90,r=-0.50,alpha=0.05)","qtilde",0.05,"marginal",0.9,-0.5,NA,5,500,10552.676,17495.463329482,782.420906051532,9019.1592033878,12086.1927966122,0.074144312404885,0,50.5,208.963881188119,50,0.05,"asymp"
13,"Qtilde(lambda=0.90,r=0.50,alpha=0.05)","qtilde",0.05,"marginal",0.9,0.5,NA,1,500,4837.712,12512.6230998433,559.581516561677,3740.95238112481,5934.47161887519,0.115670696511425,0,10.5,460.734476190476,50,0.05,"asymp"
13,"Qtilde(lambda=0.90,r=0.50,alpha=0.05)","qtilde",0.05,"marginal",0.9,0.5,NA,5,500,22234.646,40185.2380413201,1797.13847904804,18712.3193058347,25756.9726941653,0.0808260441406643,0.012,50.5,440.29001980198,50,0.05,"asymp"
14,"Qbar(lambda=0.80,r=1.00,alpha=0.05)","qbar",0.05,"marginal",0.8,1,NA,1,500,44590.32,69706.8185437881,3117.38369518306,38480.3602314488,50700.2797685512,0.0699116690614255,0.124,10.5,4246.69714285714,50,0.05,"asymp"
14,"Qbar(lambda=0.80,r=1.00,alpha=0.05)","qbar",0.05,"marginal",0.8,1,NA,5,500,86111.914,87244.3306459642,3901.68507951688,78464.7517651296,93759.0762348704,0.0453094687863619,0.322,50.5,1705.18641584158,50,0.05,"asymp"
15,"Qbar(lambda=0.80,r=2.00,alpha=0.05)","qbar",0.05,"marginal",0.8,2,NA,1,500,115084.958,90584.788765397,4051.07490813774,107144.997081376,123024.918918624,0.0352007332542776,0.48,10.5,10960.4721904762,50,0.05,"asymp"
15,"Qbar(lambda=0.80,r=2.00,alpha=0.05)","qbar",0.05,"marginal",0.8,2,NA,5,500,145923.504,81797.9438932318,3658.1152592996,138753.729840476,153093.278159524,0.0250687186027249,0.66,50.5,2889.57433663366,50,0.05,"asymp"
