"chart_index","chart","chart_type","threshold","validity","lambda","r","kappa","k","n_rep","mean_Rk","sd_Rk","se_Rk","ci_lower","ci_upper","mcse_ratio","censored_rate","lower_bound","ratio","n0","alpha_nominal","ks_engine"
10,"Qtilde(lambda=0.90,r=-0.90,alpha=0.05)","qtilde",0.05,"marginal",0.9,-0.9,NA,5,500,50863.956,63933.8335009118,2859.20795540384,45260.0113830981,56467.9006169019,0.0562128505184269,0.088,50.5,1007.20704950495,100,0.05,"asymp"
11,"Qtilde(lambda=0.90,r=-0.80,alpha=0.05)","qtilde",0.05,"marginal",0.9,-0.8,NA,1,500,4893.922,11589.0304931629,518.277199520602,3878.11735493134,5909.72664506866,0.105902219022004,0,10.5,466.08780952381,100,0.05,"asymp"
11,"Qtilde(lambda=0.90,r=-0.80,alpha=0.05)","qtilde",0.05,"marginal",0.9,-0.8,NA,5,500,23796.118,36641.001559546,1638.63540501641,20584.4516223756,27007.7843776244,0.0688614590420341,0.012,50.5,471.210257425743,100,0.05,"asymp"
12,"Qtilde(lambda=0.90,r=-0.50,alpha=0.05)","qtilde",0.05,"marginal",0.9,-0.5,NA,1,500,1686.848,3781.41045364476,169.10981650356,1355.39885022085,2018.29714977915,0.100251958981224,0,10.5,160.65219047619,100,0.05,"asymp"
12,"Qtilde(lambda=0.90,r=-0.50,alpha=0.05)","qtilde",0.05,"marginal",0.9,-0.5,NA,5,500,8355.864,12560.856374277,561.738574169897,7254.87662590012,9456.85137409988,0.0672268689593197,0,50.5,165.462653465347,100,0.05,"asymp"
13,"Qtilde(lambda=0.90,r=0.50,alpha=0.05)","qtilde",0.05,"marginal",0.9,0.5,NA,1,500,3213.068,7793.10480877147,348.51824216387,2529.98479740361,3896.15120259639,0.108468990436514,0,10.5,306.006476190476,100,0.05,"asymp"
13,"Qtilde(lambda=0.90,r=0.50,alpha=0.05)","qtilde",0.05,"marginal",0.9,0.5,NA,5,500,17965.998,31877.0745186212,1425.58611094927,15171.9005656789,20760.0954343211,0.0793491188716189,0.006,50.5,355.762336633663,100,0.05,"asymp"
14,"Qbar(lambda=0.80,r=1.00,alpha=0.05)","qbar",0.05,"marginal",0.8,1,NA,1,500,38983.494,65409.9726100819,2925.22290325085,33250.1624628766,44716.8255371234,0.0750374736356584,0.1,10.5,3712.71371428571,100,0.05,"asymp"
14,"Qbar(lambda=0.80,r=1.00,alpha=0.05)","qbar",0.05,"marginal",0.8,1,NA,5,500,82524.43,85782.3786538477,3836.30459883261,75005.4111525627,90043.4488474373,0.0464868960480261,0.292,50.5,1634.14712871287,100,0.05,"asymp"
15,"Qbar(lambda=0.80,r=2.00,alpha=0.05)","qbar",0.05,"marginal",0.8,2,NA,1,500,107851.162,92874.1979989904,4153.46040163035,99710.5292015912,115991.794798409,0.0385110398868985,0.468,10.5,10271.5392380952,100,0.05,"asymp"
15,"Qbar(lambda=0.80,r=2.00,alpha=0.05)","qbar",0.05,"marginal",0.8,2,NA,5,500,138447.67,85000.0380825866,3801.31726485469,130997.225067075,145898.114932925,0.0274567081183431,0.626,50.5,2741.53801980198,100,0.05,"asymp"
16,"Qbar(lambda=0.90,r=1.00,alpha=0.05)","qbar",0.05,"marginal",0.9,1,NA,1,500,3181.252,10267.1813997946,459.162310945244,2281.31040748914,4081.19359251086,0.144333838044029,0,10.5,302.976380952381,100,0.05,"asymp"
16,"Qbar(lambda=0.90,r=1.00,alpha=0.05)","qbar",0.05,"marginal",0.9,1,NA,5,500,13788.196,27198.173046654,1216.33927592242,11404.2148262105,16172.1771737895,0.0882159838692761,0,50.5,273.033584158416,100,0.05,"asymp"
17,"Qbar(lambda=0.90,r=2.00,alpha=0.05)","qbar",0.05,"marginal",0.9,2,NA,1,500,37998.912,65151.1868275809,2913.64965122519,32288.2636200309,43709.5603799691,0.0766771862106261,0.098,10.5,3618.944,100,0.05,"asymp"
17,"Qbar(lambda=0.90,r=2.00,alpha=0.05)","qbar",0.05,"marginal",0.9,2,NA,5,500,80991.756,85573.4160286833,3826.95950614012,73491.0531976722,88492.4588023278,0.0472512227805027,0.286,50.5,1603.79714851485,100,0.05,"asymp"
18,"Qbar(lambda=0.95,r=1.00,alpha=0.05)","qbar",0.05,"marginal",0.95,1,NA,1,500,539.694,1047.90077030835,46.8635471216771,447.843135453717,631.544864546283,0.0868335522012049,0,10.5,51.3994285714286,100,0.05,"asymp"
18,"Qbar(lambda=0.95,r=1.00,alpha=0.05)","qbar",0.05,"marginal",0.95,1,NA,5,500,2643.108,4132.03993693392,184.790443694564,2280.92538567148,3005.29061432852,0.0699140722568142,0,50.5,52.3387722772277,100,0.05,"asymp"
19,"Qbar(lambda=0.95,r=2.00,alpha=0.05)","qbar",0.05,"marginal",0.95,2,NA,1,500,7988.138,22747.5916081439,1017.30322320427,5994.26032116312,9982.01567883688,0.127351733683653,0.004,10.5,760.775047619048,100,0.05,"asymp"
19,"Qbar(lambda=0.95,r=2.00,alpha=0.05)","qbar",0.05,"marginal",0.95,2,NA,5,500,32064.946,53797.4557881098,2405.89536317506,27349.477737605,36780.414262395,0.0750319480711135,0.052,50.5,634.949425742574,100,0.05,"asymp"
1,"raw P_t alpha=0.1","p_shewhart",0.1,"marginal",NA,NA,NA,1,500,28.462,46.2188806209291,2.0669711782469,24.4108109335538,32.5131890664463,0.0726221340119072,0,5.5,5.17490909090909,100,0.1,"asymp"
1,"raw P_t alpha=0.1","p_shewhart",0.1,"marginal",NA,NA,NA,5,500,145.87,166.199873332658,7.43268429247356,131.302206478295,160.437793521705,0.0509541666721983,0,25.5,5.72039215686275,100,0.1,"asymp"
2,"Qtilde(lambda=0.50,r=-0.90,alpha=0.1)","qtilde",0.1,"marginal",0.5,-0.9,NA,1,500,12893.528,29168.0746760191,1304.43595496738,10336.8805081248,15450.1754918752,0.101169823726088,0.008,5.5,2344.27781818182,100,0.1,"asymp"
2,"Qtilde(lambda=0.50,r=-0.90,alpha=0.1)","qtilde",0.1,"marginal",0.5,-0.9,NA,5,500,39517.784,57212.5820191673,2558.62445126281,34502.9722255613,44532.5957744387,0.0647461520429082,0.054,25.5,1549.71701960784,100,0.1,"asymp"
3,"Qtilde(lambda=0.50,r=-0.80,alpha=0.1)","qtilde",0.1,"marginal",0.5,-0.8,NA,1,500,4634.172,11367.628941601,508.375821128275,3637.7736999776,5630.5703000224,0.109701543474924,0,5.5,842.576727272727,100,0.1,"asymp"
3,"Qtilde(lambda=0.50,r=-0.80,alpha=0.1)","qtilde",0.1,"marginal",0.5,-0.8,NA,5,500,20186.016,35144.1863320468,1571.69579304751,17105.5488509738,23266.4831490262,0.0778606235647249,0.01,25.5,791.608470588235,100,0.1,"asymp"
4,"Qtilde(lambda=0.50,r=-0.50,alpha=0.1)","qtilde",0.1,"marginal",0.5,-0.5,NA,1,500,2877.016,7062.88236503686,315.861701706138,2257.93844056044,3496.09355943956,0.109787954500822,0,5.5,523.093818181818,100,0.1,"asymp"
4,"Qtilde(lambda=0.50,r=-0.50,alpha=0.1)","qtilde",0.1,"marginal",0.5,-0.5,NA,5,500,12568.894,22368.9777331109,1000.3710959683,10608.2026807273,14529.5853192727,0.0795910201779332,0,25.5,492.897803921569,100,0.1,"asymp"
5,"Qtilde(lambda=0.50,r=0.50,alpha=0.1)","qtilde",0.1,"marginal",0.5,0.5,NA,1,500,107761.486,91687.2192125579,4100.37709654408,99724.8945677407,115798.077432259,0.0380504876904174,0.45,5.5,19592.9974545455,100,0.1,"asymp"
5,"Qtilde(lambda=0.50,r=0.50,alpha=0.1)","qtilde",0.1,"marginal",0.5,0.5,NA,5,500,139291.314,85279.8952075144,3813.83285596121,131816.33895926,146766.28904074,0.027380263323248,0.63,25.5,5462.40447058824,100,0.1,"asymp"
6,"Qtilde(lambda=0.70,r=-0.90,alpha=0.1)","qtilde",0.1,"marginal",0.7,-0.9,NA,1,500,5611.612,12976.2499046771,580.315537597665,4474.21444663958,6749.00955336042,0.103413339624633,0,5.5,1020.29309090909,100,0.1,"asymp"
6,"Qtilde(lambda=0.70,r=-0.90,alpha=0.1)","qtilde",0.1,"marginal",0.7,-0.9,NA,5,500,25940.556,41916.9612022595,1874.58349316947,22266.4398673746,29614.6721326254,0.0722645841966329,0.014,25.5,1017.27670588235,100,0.1,"asymp"
7,"Qtilde(lambda=0.70,r=-0.80,alpha=0.1)","qtilde",0.1,"marginal",0.7,-0.8,NA,1,500,2319.722,4910.03628636111,219.583498165881,1889.34625199556,2750.09774800444,0.094659402361956,0,5.5,421.767636363636,100,0.1,"asymp"
7,"Qtilde(lambda=0.70,r=-0.80,alpha=0.1)","qtilde",0.1,"marginal",0.7,-0.8,NA,5,500,10839.074,18508.4058932676,827.721074650083,9216.77050444105,12461.377495559,0.0763645561096901,0,25.5,425.061725490196,100,0.1,"asymp"
8,"Qtilde(lambda=0.70,r=-0.50,alpha=0.1)","qtilde",0.1,"marginal",0.7,-0.5,NA,1,500,931.784,1963.66841208215,87.817921093695,759.664037459178,1103.90396254082,0.0942470798958717,0,5.5,169.415272727273,100,0.1,"asymp"
8,"Qtilde(lambda=0.70,r=-0.50,alpha=0.1)","qtilde",0.1,"marginal",0.7,-0.5,NA,5,500,4520.49,7094.12156107764,317.258761024331,3898.67425461251,5142.30574538749,0.0701823831098688,0,25.5,177.274117647059,100,0.1,"asymp"
9,"Qtilde(lambda=0.70,r=0.50,alpha=0.1)","qtilde",0.1,"marginal",0.7,0.5,NA,1,500,16916.656,40048.9433257944,1791.04319407025,13406.2758448667,20427.0361551333,0.105874541284652,0.026,5.5,3075.75563636364,100,0.1,"asymp"
9,"Qtilde(lambda=0.70,r=0.50,alpha=0.1)","qtilde",0.1,"marginal",0.7,0.5,NA,5,500,51496.772,71996.1763636235,3219.76688938251,45186.1448581957,57807.3991418043,0.0625236643839057,0.14,25.5,2019.48125490196,100,0.1,"asymp"
10,"Qtilde(lambda=0.90,r=-0.90,alpha=0.1)","qtilde",0.1,"marginal",0.9,-0.9,NA,1,500,3664.896,9692.57066424313,433.464937639359,2815.32033366596,4514.47166633404,0.118274826254103,0,5.5,666.344727272727,100,0.1,"asymp"
10,"Qtilde(lambda=0.90,r=-0.90,alpha=0.1)","qtilde",0.1,"marginal",0.9,-0.9,NA,5,500,17074.688,28615.4589119262,1279.72222668838,14566.4785254754,19582.8974745246,0.0749484984257624,0.002,25.5,669.595607843137,100,0.1,"asymp"
11,"Qtilde(lambda=0.90,r=-0.80,alpha=0.1)","qtilde",0.1,"marginal",0.9,-0.8,NA,1,500,1337.024,2676.47367595876,119.695541588651,1102.42504937623,1571.62295062377,0.0895238541631644,0,5.5,243.095272727273,100,0.1,"asymp"
11,"Qtilde(lambda=0.90,r=-0.80,alpha=0.1)","qtilde",0.1,"marginal",0.9,-0.8,NA,5,500,6443.924,10166.7409374293,454.670476914439,5552.78624041405,7335.06175958595,0.070558013551128,0,25.5,252.702901960784,100,0.1,"asymp"
12,"Qtilde(lambda=0.90,r=-0.50,alpha=0.1)","qtilde",0.1,"marginal",0.9,-0.5,NA,1,500,422.78,820.395405180748,36.6891978882527,350.870493517362,494.689506482638,0.0867808266432961,0,5.5,76.8690909090909,100,0.1,"asymp"
12,"Qtilde(lambda=0.90,r=-0.50,alpha=0.1)","qtilde",0.1,"marginal",0.9,-0.5,NA,5,500,2233.558,3447.97183779457,154.197988276271,1931.33549648998,2535.78050351002,0.0690369304384621,0,25.5,87.5905098039216,100,0.1,"asymp"
13,"Qtilde(lambda=0.90,r=0.50,alpha=0.1)","qtilde",0.1,"marginal",0.9,0.5,NA,1,500,389.654,857.155714045144,38.3331688781462,314.522369585542,464.785630414458,0.0983774550707711,0,5.5,70.8461818181818,100,0.1,"asymp"
13,"Qtilde(lambda=0.90,r=0.50,alpha=0.1)","qtilde",0.1,"marginal",0.9,0.5,NA,5,500,1943.154,3149.59406588273,140.854128656874,1667.08498075875,2219.22301924124,0.072487372929204,0,25.5,76.2021176470588,100,0.1,"asymp"
14,"Qbar(lambda=0.80,r=1.00,alpha=0.1)","qbar",0.1,"marginal",0.8,1,NA,1,500,1802.058,6573.41217312833,293.971929264791,1225.88360617525,2378.23239382475,0.16313122511306,0,5.5,327.646909090909,100,0.1,"asymp"
14,"Qbar(lambda=0.80,r=1.00,alpha=0.1)","qbar",0.1,"marginal",0.8,1,NA,5,500,8535.466,19378.1513904569,866.617275746874,6836.92735115591,10234.0046488441,0.101531337099448,0.002,25.5,334.724156862745,100,0.1,"asymp"
15,"Qbar(lambda=0.80,r=2.00,alpha=0.1)","qbar",0.1,"marginal",0.8,2,NA,1,500,19367.552,45853.1618329582,2050.61573683587,15348.4190096706,23386.6849903294,0.105878932806576,0.034,5.5,3521.37309090909,100,0.1,"asymp"
15,"Qbar(lambda=0.80,r=2.00,alpha=0.1)","qbar",0.1,"marginal",0.8,2,NA,5,500,53852.392,74247.866522889,3320.46553459021,47344.3991402966,60360.3848597034,0.0616586452573957,0.154,25.5,2111.85850980392,100,0.1,"asymp"
16,"Qbar(lambda=0.90,r=1.00,alpha=0.1)","qbar",0.1,"marginal",0.9,1,NA,1,500,170.512,362.363951190298,16.2054085491384,138.749982888931,202.274017111069,0.0950396954416019,0,5.5,31.0021818181818,100,0.1,"asymp"
16,"Qbar(lambda=0.90,r=1.00,alpha=0.1)","qbar",0.1,"marginal",0.9,1,NA,5,500,828.498,1341.67712995269,60.0016253286205,710.896975342038,946.099024657962,0.0724221728098565,0,25.5,32.4901176470588,100,0.1,"asymp"
17,"Qbar(lambda=0.90,r=2.00,alpha=0.1)","qbar",0.1,"marginal",0.9,2,NA,1,500,1197.516,3756.65129865727,168.002553431211,868.237045964061,1526.79495403594,0.140292533403487,0,5.5,217.730181818182,100,0.1,"asymp"
17,"Qbar(lambda=0.90,r=2.00,alpha=0.1)","qbar",0.1,"marginal",0.9,2,NA,5,500,6365.276,15289.5116095427,683.767746034193,5025.11584398285,7705.43615601715,0.107421539307045,0,25.5,249.618666666667,100,0.1,"asymp"
18,"Qbar(lambda=0.95,r=1.00,alpha=0.1)","qbar",0.1,"marginal",0.95,1,NA,1,500,57.292,102.358826657937,4.57762589008529,48.3200181207347,66.2639818792653,0.0798999143001692,0,5.5,10.4167272727273,100,0.1,"asymp"
18,"Qbar(lambda=0.95,r=1.00,alpha=0.1)","qbar",0.1,"marginal",0.95,1,NA,5,500,291.646,388.811457370749,17.3881769822351,257.565799358011,325.726200641989,0.0596208313579995,0,25.5,11.4370980392157,100,0.1,"asymp"
19,"Qbar(lambda=0.95,r=2.00,alpha=0.1)","qbar",0.1,"marginal",0.95,2,NA,1,500,254.894,565.422057378327,25.2864431255145,205.333482176871,304.454517823129,0.0992037597021291,0,5.5,46.3443636363636,100,0.1,"asymp"
19,"Qbar(lambda=0.95,r=2.00,alpha=0.1)","qbar",0.1,"marginal",0.95,2,NA,5,500,1277.448,2220.07769170595,99.2848926797065,1082.85318613885,1472.04281386115,0.0777212792064386,0,25.5,50.096,100,0.1,"asymp"
