"n","scenario","method","estimand","n_rep","mean_inspections","mean_elapsed_time","sd_elapsed_time","se_elapsed_time","mean_interval_to_signal","inspections_per_time_unit","ci_lower","ci_upper","censoring_rate","P_signal_by_time_10","P10_lower","P10_upper","P_signal_by_time_25","P25_lower","P25_upper"
5,"ic","fixed interval (1.0)","IC ATS",10000,196.3467,196.3467,239.969733188156,2.39969733188156,1,0.999999999999999,191.643293229512,201.050106770488,0,0.0594,0.0549341086099519,0.0642042831854559,0.1414,0.134708329346559,0.148367084402495
5,"ic","VSI (0.1/1.9123)","IC ATS",10000,196.3467,195.891381522754,242.255803567098,2.42255803567098,0.997681048485938,1.00232434154942,191.143167772839,200.639595272669,0,0.0606,0.056090124646079,0.0654473455193823,0.143,0.136275612475443,0.149998572433683
5,"normal_location","fixed interval (1.0)","zero-state OOC ATS",10000,38.8475,38.8475,50.2334767258686,0.502334767258686,1,1,37.862923856173,39.832076143827,0,0.2868,0.278018755357543,0.295744987562977,0.5434,0.533622181945945,0.553144485770985
5,"normal_location","VSI (0.1/1.9123)","zero-state OOC ATS",10000,38.8475,29.2474471074993,41.2234985118248,0.412234985118248,0.752878489156298,1.32823558436453,28.4394665366675,30.055427678331,0,0.3788,0.369340525408414,0.388352559216197,0.6474,0.637980545688872,0.656706247432682
5,"normal_scale","fixed interval (1.0)","zero-state OOC ATS",10000,59.6968,59.6968,63.6095094048734,0.636095094048734,1,1,58.4500536156645,60.9435463843355,0,0.1614,0.154319408679927,0.168740644570017,0.3581,0.348759079550794,0.367549903190396
5,"normal_scale","VSI (0.1/1.9123)","zero-state OOC ATS",10000,59.6968,48.9044748149116,54.0025183447296,0.540025183447296,0.81921434339716,1.2206817520469,47.8460254553549,49.9629241744683,0,0.2036,0.195822088796552,0.211605553800268,0.4278,0.418132258071558,0.437523193330232
5,"cauchy","fixed interval (1.0)","zero-state OOC ATS",10000,46.7615,46.7615,48.3697858313239,0.483697858313239,1,1,45.813452197706,47.7095478022939,0,0.2031,0.195329498841157,0.211098527768141,0.4321,0.422418688375243,0.441833460519238
5,"cauchy","VSI (0.1/1.9123)","zero-state OOC ATS",10000,46.7615,33.4642118768708,35.5394889474914,0.355394889474914,0.715635979959385,1.39735847274861,32.7676378935,34.1607858602416,0,0.2766,0.267919640241729,0.285451936533337,0.5438,0.534022714206831,0.553543646300116
