"n","scenario","change_time","chart","n_started","n_conditioned","prechange_signal_rate","mean_delay","sd_delay","se_delay","delay_ci_lower","delay_ci_upper","delay_censored_rate","delay_estimand","mean_postchange_observations","PTS_10","PTS_10_lower","PTS_10_upper","PTS_25","PTS_25_lower","PTS_25_upper","PTS_obs_50","PTS_obs_100","PTS_obs_200"
3,"cauchy",1,"Raw exact KS p",8000,8000,0,38.057375,39.7297167043519,0.444191736388698,37.1867591966782,38.9279908033218,0,"ECD",114.172125,0.2425,0.233233029027149,0.252014155274949,0.50275,0.491794742361161,0.513702617806487,0.358375,0.5965,0.831625
3,"cauchy",50,"Raw exact KS p",10000,7376,0.2624,39.0619577006508,39.3032895252101,0.45763417237386,38.164994722798,39.9589206785035,0,"ECD",117.185873101952,0.230748373101952,0.221275016999648,0.240502048784528,0.485086767895879,0.473691786555363,0.496497275497135,0.344495661605206,0.581480477223427,0.816838394793926
3,"cauchy",1,"Qtilde(0.95,1)",8000,8000,0,47.620875,50.9693645609779,0.569854819641576,46.5039595535025,48.7377904464975,0,"ECD",142.862625,0.21475,0.205889290810918,0.223884531799465,0.435375,0.424543753000253,0.446268283060031,0.31225,0.52025,0.75475
3,"cauchy",50,"Qtilde(0.95,1)",10000,7391,0.2609,49.7697199296442,51.0945713193806,0.594323849958578,48.6048451837253,50.934594675563,0,"ECD",149.309159788932,0.188066567446895,0.179320630206164,0.197136601818928,0.405087268299283,0.393947433375137,0.416325717032844,0.280070355838182,0.498038154512245,0.739548099039372
3,"cauchy",1,"p-EWMA(0.2)",8000,8000,0,37.931875,35.5239563945107,0.397169906639322,37.1534219829869,38.7103280170131,0,"ECD",113.795625,0.189625,0.181184567723606,0.198363373355088,0.48425,0.473308889538276,0.495206229501561,0.321125,0.591875,0.83825
3,"cauchy",50,"p-EWMA(0.2)",10000,7568,0.2432,39.052721987315,37.4137446200932,0.430071452606341,38.2097819402066,39.8956620344234,0,"ECD",117.158165961945,0.195031712473573,0.186260322279129,0.204112556096985,0.471194503171247,0.45996555969289,0.48245267578631,0.317521141649049,0.575184989429176,0.828488372093023
3,"cauchy",1,"KS-EWMA(0.2)",8000,8000,0,32.708125,31.6551289664585,0.353915101027619,32.0144514019859,33.4017985980141,0,"ECD",98.124375,0.2395,0.230274248073857,0.248975816045353,0.54625,0.535320639192292,0.557134963627234,0.3865,0.652625,0.879125
3,"cauchy",50,"KS-EWMA(0.2)",10000,7410,0.259,33.3968960863698,32.1724536522462,0.373744731999204,32.6643564116513,34.1294357610882,0,"ECD",100.190688259109,0.238326585695007,0.228762717142859,0.24816163473431,0.53306342780027,0.521689565393171,0.544403025524876,0.367881241565452,0.637651821862348,0.870985155195682
3,"cauchy",1,"Bakir Shew-KS",8000,8000,0,38.147625,39.6053330330646,0.442801084667252,37.2797348740522,39.0155151259478,0,"ECD",114.442875,0.2415,0.232246698800515,0.251001445440621,0.5015,0.490545225990432,0.512453334101011,0.35725,0.595625,0.830875
3,"cauchy",50,"Bakir Shew-KS",10000,7390,0.261,38.9893098782138,39.3985265850652,0.458308341036186,38.0910255297829,39.8875942266447,0,"ECD",116.967929634641,0.232205683355886,0.222719277413519,0.241970363760292,0.486738836265223,0.475352721505991,0.498138731164567,0.346549391069012,0.582002706359946,0.817997293640054
3,"normal_location",1,"Raw exact KS p",8000,8000,0,57.25125,75.0523249464832,0.839110502248698,55.6065934155925,58.8959065844074,0,"ECD",171.75375,0.20725,0.198509210194794,0.216271811958368,0.4235,0.412711523617675,0.434361911718677,0.304,0.502625,0.7245
3,"normal_location",50,"Raw exact KS p",10000,7379,0.2621,59.5969643583141,76.4970224201158,0.890524302241666,57.8515367259205,61.3423919907078,0,"ECD",178.790893074942,0.192302480010842,0.183471132814206,0.201454042879662,0.406017075484483,0.394863669305095,0.417268288124412,0.286895243257894,0.487057866919637,0.716086190540724
3,"normal_location",1,"Qtilde(0.95,1)",8000,8000,0,49.98725,66.5592093814349,0.744154583527651,48.5287070162858,51.4457929837142,0,"ECD",149.96175,0.25175,0.242359841970675,0.261378462895328,0.46825,0.457333232234995,0.479197245829439,0.350125,0.55525,0.7615
3,"normal_location",50,"Qtilde(0.95,1)",10000,7350,0.265,52.0619047619048,63.3329243373529,0.738730231165757,50.6139935088199,53.5098160149896,0,"ECD",156.185714285714,0.207619047619048,0.198500104500362,0.217043466631222,0.435918367346939,0.424618073219497,0.44728561314764,0.308707482993197,0.521360544217687,0.747619047619048
3,"normal_location",1,"p-EWMA(0.2)",8000,8000,0,38.4905,51.1971171341742,0.572401170820164,37.3685937051925,39.6124062948075,0,"ECD",115.4715,0.222125,0.213150706970513,0.231366036089469,0.54275,0.531815470748621,0.553643491857536,0.3795,0.641625,0.84975
3,"normal_location",50,"p-EWMA(0.2)",10000,7670,0.233,38.5189048239896,47.492078878898,0.542279888984759,37.4560362415794,39.5817734063997,0,"ECD",115.556714471969,0.233246414602347,0.223916965827989,0.24284294227332,0.533246414602347,0.522067361843025,0.544392180402413,0.379009126466754,0.634419817470665,0.840417209908735
3,"normal_location",1,"KS-EWMA(0.2)",8000,8000,0,34.1915,45.8562337858455,0.512688279686366,33.1866309718147,35.1963690281853,0,"ECD",102.5745,0.27275,0.263101131654437,0.282617014491783,0.589875,0.579056089950695,0.60060763552833,0.4305,0.686,0.871875
3,"normal_location",50,"KS-EWMA(0.2)",10000,7432,0.2568,34.0273143164693,41.992661141179,0.487102711305731,33.0725930023101,34.9820356306286,0,"ECD",102.081942949408,0.271663078579117,0.261669860365882,0.281892229498969,0.581135629709365,0.569879481275502,0.592307943480829,0.415635091496233,0.675995694294941,0.869079655543595
3,"normal_location",1,"Bakir Shew-KS",8000,8000,0,52.95275,68.8853606839078,0.770161745719046,51.4432329783907,54.4622670216093,0,"ECD",158.85825,0.218625,0.209704085195821,0.227816017650792,0.447375,0.436506967131996,0.458293549659841,0.32225,0.528875,0.7475
3,"normal_location",50,"Bakir Shew-KS",10000,7392,0.2608,55.0198863636364,69.9045100054702,0.813063034946649,53.4262828151409,56.6134899121318,0,"ECD",165.059659090909,0.206574675324675,0.197498971592084,0.215955205144205,0.428165584415584,0.416925583205279,0.439480211099455,0.306141774891775,0.50974025974026,0.737824675324675
3,"normal_scale",1,"Raw exact KS p",8000,8000,0,49.132125,53.2593136202043,0.595457228448786,47.9650288322404,50.2992211677596,0,"ECD",147.396375,0.201125,0.192485565651909,0.210051336127856,0.4205,0.409723338655003,0.43135297649846,0.299625,0.512875,0.75475
3,"normal_scale",50,"Raw exact KS p",10000,7377,0.2623,49.8449234106005,54.0985991659862,0.629863044227178,48.6103918439152,51.0794549772858,0,"ECD",149.534770231802,0.201843567846008,0.19284040910679,0.211157097085458,0.417785007455605,0.406575937185088,0.429079660680607,0.292801952013013,0.507252270570693,0.749491663277755
3,"normal_scale",1,"Qtilde(0.95,1)",8000,8000,0,53.94,61.4529084543167,0.687064403594618,52.5933537689545,55.2866462310455,0,"ECD",161.82,0.205625,0.196910795742983,0.214621786311115,0.397,0.386330163235811,0.407768710485029,0.2925,0.481625,0.719875
3,"normal_scale",50,"Qtilde(0.95,1)",10000,7416,0.2584,56.6205501618123,60.1053718787189,0.697956615402974,55.2525551956225,57.9885451280021,0,"ECD",169.861650485437,0.170981661272923,0.16258357593094,0.179720443065907,0.377022653721683,0.366058601995166,0.388114047728246,0.258629989212514,0.460625674217907,0.703209277238403
3,"normal_scale",1,"p-EWMA(0.2)",8000,8000,0,51.167,52.329672847559,0.585063528637334,50.0202754838708,52.3137245161292,0,"ECD",153.501,0.142,0.134522836244948,0.149820821930396,0.3885,0.377875120530858,0.399231912671798,0.2505,0.486125,0.742625
3,"normal_scale",50,"p-EWMA(0.2)",10000,7598,0.2402,50.1118715451435,51.753863695595,0.593735659271515,48.9481496529713,51.2755934373156,0,"ECD",150.33561463543,0.167017636220058,0.158799362523514,0.175572456010563,0.395235588312714,0.384297894826363,0.4062791674476,0.269018162674388,0.499605159252435,0.749012898131087
3,"normal_scale",1,"KS-EWMA(0.2)",8000,8000,0,43.48475,45.4543978094807,0.508195616891582,42.4886865908925,44.4808134091075,0,"ECD",130.45425,0.18525,0.176888386244038,0.193913754567944,0.451125,0.440246789130086,0.462050127890361,0.3095,0.547625,0.798
3,"normal_scale",50,"KS-EWMA(0.2)",10000,7439,0.2561,44.2493614733163,47.2617536459008,0.547964663005672,43.1753507338252,45.3233722128074,0,"ECD",132.748084419949,0.194380965183492,0.18554693826399,0.203530480769084,0.447103105256083,0.435834689080307,0.458426126573758,0.30635838150289,0.549401801317381,0.793386207823632
3,"normal_scale",1,"Bakir Shew-KS",8000,8000,0,49.12875,52.604686864124,0.588138278816357,47.9759989735199,50.2815010264801,0,"ECD",147.38625,0.199125,0.190519346486556,0.208019475171284,0.418375,0.407606955383997,0.42922139963992,0.297,0.51075,0.754625
3,"normal_scale",50,"Bakir Shew-KS",10000,7390,0.261,49.9706359945873,53.7201772197482,0.624906752504941,48.7458187596776,51.195453229497,0,"ECD",149.911907983762,0.201082543978349,0.192100467644456,0.21037523591944,0.416238159675237,0.405045645330283,0.42751771388477,0.291745602165088,0.504330175913396,0.746955345060893
5,"cauchy",1,"Raw exact KS p",8000,8000,0,46.809625,48.9812849784909,0.547627414185974,45.7362752681955,47.8829747318045,0,"ECD",234.048125,0.198125,0.189536365552348,0.20700341604453,0.43,0.419187323951518,0.440879871781092,0.198125,0.36125,0.58825
5,"cauchy",50,"Raw exact KS p",10000,7407,0.2593,46.8174699608478,47.6676387430308,0.553863144460277,45.7318981977057,47.90304172399,0,"ECD",234.087349804239,0.202916160388821,0.193912300557132,0.21222802229095,0.423923315782368,0.412711294833044,0.435214209336415,0.202916160388821,0.358579721884704,0.58471715944377
5,"cauchy",1,"Qtilde(0.95,1)",8000,8000,0,47.35225,51.2372259846614,0.572849601401108,46.2294647812538,48.4750352187462,0,"ECD",236.76125,0.22225,0.213273817963302,0.231492805104301,0.432375,0.421553957808665,0.443260958068731,0.22225,0.368,0.584625
5,"cauchy",50,"Qtilde(0.95,1)",10000,7386,0.2614,49.5938261575955,51.9974733494703,0.605030947275172,48.4079655009361,50.7796868142548,0,"ECD",247.969130787977,0.191172488491741,0.182365998898952,0.200300065282992,0.411724884917411,0.400549661635352,0.422991887617882,0.191172488491741,0.34646628757108,0.565123206065529
5,"cauchy",1,"p-EWMA(0.2)",8000,8000,0,30.177625,28.0368343856733,0.313461337801345,29.5632407779094,30.7920092220906,0,"ECD",150.888125,0.22675,0.217706600655894,0.236055702686041,0.574,0.563130954294453,0.584798010216788,0.22675,0.484875,0.759125
5,"cauchy",50,"p-EWMA(0.2)",10000,7523,0.2477,30.0390801541938,28.0694634204669,0.323622404070619,29.4047802422154,30.6733800661722,0,"ECD",150.195400770969,0.243519872391333,0.233953378428652,0.253348174456425,0.572245114980726,0.561030847461198,0.583385636605638,0.243519872391333,0.476405689219726,0.756878904692277
5,"cauchy",1,"KS-EWMA(0.2)",8000,8000,0,28.317875,27.4115259417216,0.306470176863442,27.7171934533477,28.9185565466523,0,"ECD",141.589375,0.26275,0.253220790668249,0.272506954868345,0.59775,0.586960250852157,0.60844591510695,0.26275,0.511375,0.77925
5,"cauchy",50,"KS-EWMA(0.2)",10000,7327,0.2673,28.759656066603,27.737788247288,0.324047542804231,28.1245228827067,29.3947892504993,0,"ECD",143.798280333015,0.269550975842773,0.259513339933406,0.27983013735575,0.593148628360857,0.58185420843895,0.60434542244654,0.269550975842773,0.503889722942541,0.76934625358264
5,"cauchy",1,"Bakir Shew-KS",8000,8000,0,46.982,49.17310927056,0.549772074969986,45.9044467330588,48.0595532669412,0,"ECD",234.91,0.19775,0.189167769954601,0.206622371619416,0.4285,0.41769273891341,0.439375896727755,0.19775,0.35975,0.586
5,"cauchy",50,"Bakir Shew-KS",10000,7404,0.2596,47.1048082117774,47.7373049743284,0.554784976697274,46.0174296574508,48.1921867661041,0,"ECD",235.524041058887,0.20097244732577,0.192000644575531,0.210254392843196,0.41923284710967,0.408037950740534,0.430511512844108,0.20097244732577,0.353997839005943,0.58063209076175
5,"normal_location",1,"Raw exact KS p",8000,8000,0,40.324625,54.5083744847569,0.609422153454657,39.1301575792289,41.5190924207711,0,"ECD",201.623125,0.284875,0.275089338230574,0.29486716865482,0.5345,0.523555432535024,0.54541144956819,0.284875,0.466375,0.682
5,"normal_location",50,"Raw exact KS p",10000,7511,0.2489,40.016242843829,53.5919136764219,0.618372808508236,38.8042321391529,41.2282535485052,0,"ECD",200.081214219145,0.268006923179337,0.258110468921973,0.278140567959496,0.531354014112635,0.520055338179037,0.542620633593941,0.268006923179337,0.46158966848622,0.688590067900413
5,"normal_location",1,"Qtilde(0.95,1)",8000,8000,0,31.82525,46.7309633466333,0.522468053485615,30.8012126151682,32.8492873848318,0,"ECD",159.12625,0.365,0.354517325397319,0.375612266372713,0.621125,0.610438881795676,0.631694845588434,0.365,0.5535,0.75425
5,"normal_location",50,"Qtilde(0.95,1)",10000,7419,0.2581,33.9629330098396,46.5624597641184,0.540584052026058,32.9033882678685,35.0224777518107,0,"ECD",169.814665049198,0.315406389001213,0.304930331647748,0.326073514642061,0.594824100283057,0.5836066178246,0.605943432657415,0.315406389001213,0.5194770184661,0.74228332659388
5,"normal_location",1,"p-EWMA(0.2)",8000,8000,0,23.587375,29.9413915253651,0.334754933958262,22.9312553294418,24.2434946705582,0,"ECD",117.936875,0.36575,0.355262373976055,0.3763664978397,0.726875,0.717003980159063,0.736528233671856,0.36575,0.646,0.8555
5,"normal_location",50,"p-EWMA(0.2)",10000,7527,0.2473,23.1042912182809,29.3053447851781,0.337781513507326,22.4422394518065,23.7663429847552,0,"ECD",115.521456091404,0.377972631858642,0.3670833131793,0.388986446673304,0.724060050484921,0.713849582208022,0.734041925694627,0.377972631858642,0.646871263451574,0.858110801115982
5,"normal_location",1,"KS-EWMA(0.2)",8000,8000,0,20.638,27.1728449272004,0.303801641996402,20.0425487816871,21.233451218313,0,"ECD",103.19,0.434,0.423173379966392,0.444889976010068,0.765,0.75558288353545,0.774162732619673,0.434,0.69725,0.878375
5,"normal_location",50,"KS-EWMA(0.2)",10000,7366,0.2634,20.9156937279392,27.340617923384,0.318560899182954,20.2913143655406,21.5400730903378,0,"ECD",104.578468639696,0.428047787130057,0.416788494245438,0.43938209156471,0.758077654086343,0.748164838095112,0.767721419216036,0.428047787130057,0.682867227803421,0.879446103719794
5,"normal_location",1,"Bakir Shew-KS",8000,8000,0,37.32575,50.5850051129808,0.565557550373998,36.217257201267,38.434242798733,0,"ECD",186.62875,0.3035,0.29352115304943,0.313667474971394,0.559625,0.54872040648072,0.570472357154183,0.3035,0.48975,0.70675
5,"normal_location",50,"Bakir Shew-KS",10000,7504,0.2496,37.3422174840085,50.5215437958087,0.583217034396285,36.1991120965918,38.4853228714252,0,"ECD",186.711087420043,0.282915778251599,0.272837704593555,0.293216006502321,0.553971215351812,0.542699494938272,0.565187703960543,0.282915778251599,0.484141791044776,0.710554371002132
5,"normal_scale",1,"Raw exact KS p",8000,8000,0,59.179625,64.5355228852578,0.721529080674649,57.7654280018777,60.5938219981223,0,"ECD",295.898125,0.168625,0.160579629373106,0.17698847042537,0.370375,0.359857447848963,0.381016984248744,0.168625,0.309625,0.518375
5,"normal_scale",50,"Raw exact KS p",10000,7483,0.2517,61.9402645997595,67.0371418536107,0.774957020780731,60.4213488390292,63.4591803604897,0,"ECD",309.701322998797,0.167579847654684,0.159288335862283,0.176212498027405,0.358278765201123,0.34748972380323,0.36921324477567,0.167579847654684,0.297741547507684,0.501269544300414
5,"normal_scale",1,"Qtilde(0.95,1)",8000,8000,0,57.965625,65.4750701905799,0.732033538888534,56.5308392637785,59.4004107362215,0,"ECD",289.828125,0.19975,0.191133753235832,0.20865446846011,0.39075,0.380112889295216,0.401491984044606,0.19975,0.329,0.528375
5,"normal_scale",50,"Qtilde(0.95,1)",10000,7319,0.2681,63.3516873889876,69.8288959811521,0.816223890400396,61.7518885638028,64.9514862141723,0,"ECD",316.758436944938,0.161497472332286,0.153244662316746,0.170105442647972,0.350457712802295,0.339607955047529,0.361464371848085,0.161497472332286,0.292116409345539,0.501161360841645
5,"normal_scale",1,"p-EWMA(0.2)",8000,8000,0,45.455,48.469375744362,0.541904094956865,44.3928679738845,46.5171320261155,0,"ECD",227.275,0.167125,0.159109531870673,0.17546000783636,0.445625,0.434761931092267,0.456540265592885,0.167125,0.366,0.617125
