"setting","model","n0","delta","rho","alpha","n_rep_run","mean_R","se_R","relative_MCSE","median_R","q90_R","PTS_25","PTS_100","censored_rate","mean_true_ooc","se_true_ooc","mean_false_ooc_at_alarm","precision_proxy","n_rep_fwer","fwer_hat","fwer_se"
"L2","cauchy_MW_exact_fast",50,0.5,0.9,0.05,1000,5.989,0.346214880881431,0.0578084623278396,3,13,0.959,0.999,0,0.999,0.00100000000000001,0.058,0.945127719962157,10000,0.0259,0.00158844934358384
"L2","cauchy_MW_exact_fast",50,1,0,0.01,1000,3.812,0.572498393369284,0.150183209173474,1,5,0.983,0.996,0,1.241,0.0139683253868927,0.011,0.991214057507987,10000,0.0043,0.000654365203370367
"L2","cauchy_MW_exact_fast",50,1,0,0.05,1000,1.461,0.0417638985635107,0.0285858306389532,1,2,1,1,0,1.422,0.0164373412140221,0.048,0.96734693877551,10000,0.0308,0.00172784100641635
"L2","cauchy_MW_exact_fast",50,1,0.5,0.01,1000,2.324,0.248424513159914,0.106895229414765,1,4,0.995,0.999,0,1.162,0.0116572677713044,0.012,0.989778534923339,10000,0.0045,0.00066934281349703
"L2","cauchy_MW_exact_fast",50,1,0.5,0.05,1000,1.258,0.0258089539133632,0.020515861616346,1,2,1,1,0,1.382,0.0154374322448494,0.037,0.973925299506695,10000,0.0305,0.00171967169165316
"L2","cauchy_MW_exact_fast",50,1,0.9,0.01,1000,1.693,0.0479066388514791,0.0282968924107969,1,3,1,1,0,1.073,0.00823035471524408,0.005,0.995361781076067,10000,0.0046,0.00067670510045318
"L2","cauchy_MW_exact_fast",50,1,0.9,0.05,1000,1.092,0.0113870832817569,0.0104277319430008,1,1,1,1,0,1.31,0.0146326386586329,0.025,0.9812734082397,10000,0.0262,0.00159737633672109
"L2","cauchy_MW_exact_fast",100,0.5,0,0.01,1000,19.748,6.13563578796219,0.310696566131365,3,23,0.909,0.978,0,1.042,0.00929098069755403,0.029,0.972922502334267,10000,0.0032,0.000564807844129455
"L2","cauchy_MW_exact_fast",100,0.5,0,0.05,1000,3.634,0.290393478529341,0.0799101481918934,1,8,0.985,0.998,0,1.185,0.0138190435980919,0.04,0.96734693877551,10000,0.0219,0.00146364381777912
"L2","cauchy_MW_exact_fast",100,0.5,0.5,0.01,1000,8.307,0.736746595883927,0.0886898514366109,3,17,0.938,0.992,0,1.015,0.0053669175327933,0.019,0.981624758220503,10000,0.0045,0.000669342813497038
"L2","cauchy_MW_exact_fast",100,0.5,0.5,0.05,1000,2.361,0.0997829426086228,0.0422629998342324,1,5,0.997,1,0,1.099,0.0100648050304166,0.036,0.968281938325991,10000,0.027,0.00162091416684354
"L2","cauchy_MW_exact_fast",100,0.5,0.9,0.01,1000,5.56,0.29197542644827,0.0525135659079623,3,12,0.974,0.998,0,1.001,0.00100000000000001,0.019,0.981372549019608,10000,0.0045,0.000669342813497035
"L2","cauchy_MW_exact_fast",100,0.5,0.9,0.05,1000,1.817,0.0535946208437317,0.0294962140031545,1,3,1,1,0,1.021,0.00453647215130647,0.043,0.959586466165414,10000,0.0245,0.00154603170129264
"L2","cauchy_MW_exact_fast",100,1,0,0.01,1000,1.07,0.00985886388977959,0.00921389148577531,1,1,1,1,0,1.662,0.0149659607102245,0.009,0.994614003590664,10000,0.0084,0.000912703293918742
"L2","cauchy_MW_exact_fast",100,1,0,0.05,1000,1.011,0.00359052807980831,0.00355146199783215,1,1,1,1,0,1.851,0.0112661406846322,0.047,0.975237091675448,10000,0.0455,0.00208408477297189
"L2","cauchy_MW_exact_fast",100,1,0.5,0.01,1000,1.042,0.00750281895638521,0.00720040206946758,1,1,1,1,0,1.639,0.0151957201181751,0.007,0.995747266099636,10000,0.0069,0.000827833033137221
"L2","cauchy_MW_exact_fast",100,1,0.5,0.05,1000,1.004,0.00199699473909873,0.00198903858475969,1,1,1,1,0,1.839,0.0116281646967272,0.045,0.976114649681529,10000,0.0451,0.00207533845504042
"L2","cauchy_MW_exact_fast",100,1,0.9,0.01,1000,1.01,0.00345136377565621,0.00341719185708536,1,1,1,1,0,1.615,0.0153951944454108,0.007,0.995684340320592,10000,0.0055,0.000739614563790033
"L2","cauchy_MW_exact_fast",100,1,0.9,0.05,1000,1,0,0,1,1,1,1,0,1.818,0.0122075806376622,0.049,0.973754686663096,10000,0.0328,0.00178121679571219
